codigo_clase,display_code,class_name,class_name_es,codigo_seccion,codigo_division,sector,gsector,gsector_label,plazas_equiv_estab_nat,fte_share_nat,plazas_equiv_estab_nat_pctile,n_estab_nat,wage_per_fte,wage_premium,wage_per_fte_pctile,wage_per_fte_pctile_gsector,fte_per_firm,fte_per_firm_premium,fte_per_firm_pctile,fte_per_firm_pctile_gsector,n_firms,quadrant
4923,H4923,Freight transport by road,Transporte De Carga Por Carretera.,H,49,Terciario,6,Servicios,51478.583333333336,0.017573628865055715,97.81553398058253,47045,6933.42586452464,0.699720994436113,30.295566502463057,25.882352941176475,2.0060609522358885,0.3642004604090867,15.024630541871922,19.411764705882355,26261.0,"few jobs, poorly paid"
4930,H4930,Transport via pipeline,Transporte Por Tuberías.,H,49,Terciario,6,Servicios,290.916666666667,9.931239749848979e-05,21.844660194174757,69,39845.240276642515,4.021179672890275,100.0,100.0,20.391025641025667,3.7019916660048637,83.00492610837439,81.76470588235294,13.0,"many jobs, well paid"
5011,H5011,Sea and coastal passenger water transport,Transporte De Pasajeros Marítimo Y De Cabotaje.,H,50,Terciario,6,Servicios,816.4999999999999,0.0002787347094500721,37.13592233009709,297,17303.982911918196,1.746317097408387,95.56650246305419,92.94117647058823,8.693518518518522,1.5783086966975977,66.25615763546799,60.0,180.0,"many jobs, well paid"
5012,H5012,Sea and coastal freight water transport,Transporte De Carga Marítimo Y De Cabotaje.,H,50,Terciario,6,Servicios,1968.2500000000002,0.0006719162178507097,52.9126213592233,385,17145.620993742676,1.7303352204788958,95.32019704433498,92.3529411764706,20.39568764568765,3.7028380531709324,83.2512315270936,82.35294117647058,143.0,"many jobs, well paid"
5021,H5021,Inland passenger water transport,Transporte De Pasajeros Por Vías De Navegación Interiores.,H,50,Terciario,6,Servicios,304.3333333333333,0.00010389254530635469,22.330097087378643,114,6349.643756345178,0.6408057330269756,19.21182266009852,17.647058823529413,2.984848484848485,0.5418993830778454,28.817733990147783,30.0,55.0,"few jobs, poorly paid"
5022,H5022,Inland freight water transport,"Transporte De Carga, Por Vías De Navegación Interiores.",H,50,Terciario,6,Servicios,759.3333333333335,0.0002592192970513429,35.92233009708738,126,9186.8844863409,0.9271399268062814,59.11330049261084,48.8235294117647,9.21631205673759,1.6732218881966219,67.24137931034483,61.76470588235294,47.0,"many jobs, well paid"
5110,H5110,Passenger air transport,Transporte De Pasajeros Por Vía Aérea.,H,51,Terciario,6,Servicios,1833.3333333333335,0.0006258587066647874,51.69902912621359,151,20449.43370804642,2.063755835778398,98.27586206896551,97.6470588235294,61.54432624113481,11.173375329202193,93.34975369458128,91.76470588235294,47.0,"many jobs, well paid"
5120,H5120,Freight air transport,Transporte De Carga Por Vía Aérea.,H,51,Terciario,6,Servicios,1867.916666666667,0.0006376646777223278,52.18446601941748,152,19271.465994732214,1.9448753925632805,97.78325123152709,96.47058823529412,9.685374149659866,1.7583801332700524,68.4729064039409,63.52941176470588,49.0,"many jobs, well paid"
5210,H5210,Warehousing and storage,Almacenamiento Y Depósito.,H,52,Terciario,6,Servicios,9725.999999999996,0.003320237335102756,83.49514563106796,1314,10679.326049958825,1.0777570554000577,70.6896551724138,63.52941176470588,16.19111111111111,2.93949698518829,78.07881773399015,75.29411764705883,150.0,"many jobs, well paid"
5221,H5221,Service activities incidental to land transportation,Actividades De Servicios Vinculadas Al Transporte Terrestre.,H,52,Terciario,6,Servicios,4579.333333333334,0.001563281256756518,72.0873786407767,1530,11319.714584359715,1.1423850345364868,76.10837438423646,71.17647058823529,16.277079593058055,2.9551045671368104,78.32512315270937,75.88235294117646,557.0,"many jobs, well paid"
5222,H5222,Service activities incidental to water transportation,Actividades De Servicios Vinculadas Al Transporte Acuático.,H,52,Terciario,6,Servicios,988.9166666666674,0.0003375938759995926,41.019417475728154,121,13999.44840689303,1.4128236390250708,89.90147783251231,84.11764705882354,29.386752136752158,5.335166235205372,86.94581280788178,86.47058823529412,78.0,"many jobs, well paid"
5223,H5223,Service activities incidental to air transportation,Actividades De Servicios Vinculadas Al Transporte Aéreo.,H,52,Terciario,6,Servicios,989.0,0.00033762232412262255,41.262135922330096,105,11897.984750611067,1.2007440310395632,80.29556650246306,76.47058823529412,58.3629943502825,10.595804374505557,92.85714285714286,91.17647058823529,59.0,"many jobs, well paid"
5224,H5224,Cargo handling,Manipulación De Carga.,H,52,Terciario,6,Servicios,7778.333333333335,0.002655347803640512,80.58252427184466,1349,7732.854451568035,0.7803992877988145,45.073891625615765,37.05882352941177,13.84265944645006,2.5131354748041,75.36945812807882,72.35294117647058,554.0,"many jobs, poorly paid"
5229,H5229,Other transportation support activities,Otras Actividades De Apoyo Al Transporte.,H,52,Terciario,6,Servicios,14567.083333333334,0.004972874146297189,86.89320388349515,5074,10697.28139423533,1.0795691078540808,71.18226600985221,64.70588235294117,7.352494666010176,1.3348457530822748,60.83743842364532,54.70588235294118,2031.0,"many jobs, well paid"
5310,H5310,Postal activities,Actividades Postales.,H,53,Terciario,6,Servicios,4496.916666666667,0.001535146063079633,71.60194174757282,3291,6419.882598189258,0.647894233462907,21.428571428571427,19.411764705882355,5.235661268556005,0.9505345500239316,51.724137931034484,47.647058823529406,494.0,"many jobs, poorly paid"
5320,H5320,Courier activities,Actividades De Mensajería.,H,53,Terciario,6,Servicios,2260.750000000001,0.0007717691296867737,55.09708737864077,1936,8940.641881355596,0.902289135321736,57.389162561576356,47.05882352941176,11.046176975945025,2.005433950506591,71.42857142857143,66.47058823529412,388.0,"many jobs, well paid"
5510,I5510,Short term accommodation activities,Actividades De Alojamiento Para Estancias Cortas.,I,55,Terciario,6,Servicios,15564.166666666666,0.005313255938353742,87.86407766990291,8539,6883.356264260066,0.6946679728602418,29.064039408866993,24.705882352941178,4.78652369001445,0.8689936014752145,48.52216748768473,45.294117647058826,4383.0,"few jobs, poorly paid"
