codigo_clase,class_name,sector,phi_mass,phi_mass_noself,n_neighbors_pos
6130,Satellite telecommunications activities,Terciario,1.334734,0.334734,52
6190,Other telecommunications activities,Terciario,1.686374,0.686374,164
6201,Computer programming activities,Terciario,1.477558,0.477558,117
6202,Computer consultancy and computer facilities management activities,Terciario,1.44916,0.44916,91
6209,Other information technology and computer service activities,Terciario,1.290996,0.290996,75
6311,"Data processing, hosting and related activities",Terciario,1.428756,0.428756,106
6312,Web portals,Terciario,1.174421,0.174421,45
6391,News agency activities,Terciario,1.10096,0.10096,11
6399,Other information service activities n.e.c.,Terciario,1.091161,0.091161,36
6411,Central banking,Terciario,1.212183,0.212183,9
6419,Other monetary intermediation,Terciario,1.485135,0.485135,31
6420,Activities of holding companies,Terciario,1.121203,0.121203,17
6430,"Trusts, funds and similar financial entities",Terciario,1.183245,0.183245,14
6491,Financial leasing,Terciario,1.000615,0.000615,4
6492,Other credit granting,Terciario,1.333876,0.333876,9
6499,"Other financial service activities, except insurance and pension funding activities, n.e.c.",Terciario,1.559069,0.559069,31
