hs_edition,hs_code,description,parent_code
1992,060210,"Plants, live; unrooted cuttings and slips",0602
1992,060220,"Plants, live; edible fruit or nut trees, shrubs and bushes, grafted or not",0602
1992,060230,"Plants, live; rhododendrons and azaleas, grafted or not",0602
1992,060240,"Plants, live; roses, grafted or not",0602
1992,060291,"Plants, live; mushroom spawn",0602
1992,060299,"Plants, live; n.e.s. in heading no. 0602",0602
1992,060310,"Flowers, cut; flowers, buds of a kind suitable for bouquets or for ornamental purposes, fresh",0603
1992,060390,Flowers; n.e.s. in heading no. 0603,0603
1992,060410,"Mosses and lichens; of a kind suitable for bouquets or ornamental purposes, fresh, dried, dyed, bleached, impregnated or otherwise prepared",0604
1992,060491,"Foliage, branches and other parts of plants, without flowers or flower buds, and grasses; being goods of a kind suitable for bouquets or for ornamental purposes, fresh",0604
1992,060499,"Foliage, branches and other parts of plants, without flowers or flower buds, and grasses; kind suitable for bouquets or for ornamental purposes dried, dyed, bleached, impregnated, otherwise prepared, excluding fresh",0604
1992,070110,"Vegetables; seed potatoes, fresh or chilled",0701
1992,070190,"Vegetables; potatoes (other than seed), fresh or chilled",0701
1992,070200,"Vegetables; tomatoes, fresh or chilled",0702
1992,070310,"Vegetables, alliaceous; onions and shallots, fresh or chilled",0703
1992,070320,"Vegetables, alliaceous; garlic, fresh or chilled",0703
1992,070390,"Vegetables, alliaceous; leeks and other kinds n.e.s. in heading no. 0703, fresh or chilled",0703
1992,070410,"Vegetables, brassica; cauliflowers and headed broccoli, fresh or chilled",0704
1992,070420,"Vegetables, brassica; brussel sprouts, fresh or chilled",0704
1992,070490,"Vegetables, brassica; edible, n.e.s. in heading no. 0704, fresh or chilled",0704
1992,070511,"Vegetables; cabbage (head) lettuce (lactuca sativa), fresh or chilled",0705
1992,070519,"Vegetables; lettuce (lactuca sativa), (other than cabbage lettuce), fresh or chilled",0705
1992,070521,"Vegetables; witloff chicory (cichorium intybus var. foliosum), fresh or chilled",0705
1992,070529,"Vegetables; chicory (cichorium spp.), (other than witloof chicory), fresh or chilled",0705
1992,070610,"Vegetables, root; carrots and turnips, fresh or chilled",0706
1992,070690,"Vegetables, root; salad beetroot, salsify, celeric, radishes and similar edible roots, fresh or chilled",0706
1992,070700,"Vegetables; cucumbers and gherkins, fresh or chilled",0707
1992,070810,"Vegetables, leguminous; peas (pisum sativum), shelled or unshelled, fresh or chilled",0708
1992,070820,"Vegetables, leguminous; beans (vigna spp., phaseolus spp.), shelled or unshelled, fresh or chilled",0708
1992,070890,"Vegetables, leguminous; (other than peas and beans), shelled or unshelled, fresh or chilled",0708
1992,070910,"Vegetables; globe artichokes, fresh or chilled",0709
1992,070920,"Vegetables; asparagus, fresh or chilled",0709
1992,070930,"Vegetables; aubergines, (egg plants), fresh or chilled",0709
1992,070940,"Vegetables; celery (other than celeriac), fresh or chilled",0709
1992,070951,"Vegetables; mushrooms, fresh or chilled",0709
1992,070952,"Vegetables; truffles, fresh or chilled",0709
1992,070960,Vegetables; fruits of the genus capsicum or of the genus pimenta,0709
1992,070970,"Vegetables; spinach, New Zealand spinach and orache spinach (garden spinach), fresh or chilled",0709
1992,070990,"Vegetables; edible, n.e.s. in chapter 7, fresh or chilled",0709
1992,071010,"Vegetables; potatoes, uncooked or cooked by steaming or boiling in water, frozen",0710
1992,071021,"Vegetables, leguminous; peas (pisum sativum), shelled or unshelled, uncooked or cooked by steaming or boiling in water, frozen",0710
1992,071022,"Vegetables, leguminous; beans (vigna spp., phaseolus spp.), shelled or unshelled, uncooked or cooked by steaming or boiling in water, frozen",0710
1992,071029,"Vegetables, leguminous; (other than peas or beans), shelled or unshelled, uncooked or cooked by steaming or boiling in water, frozen",0710
1992,071030,"Vegetables; spinach, New Zealand spinach and orache spinach (garden spinach), uncooked or cooked by steaming or boiling in water, frozen",0710
1992,071040,"Vegetables; sweetcorn, uncooked or cooked by steaming or boiling in water, frozen",0710
1992,071080,"Vegetables; uncooked or cooked by steaming or boiling in water, frozen, n.e.s. in chapter 7",0710
1992,071090,"Vegetable mixtures; uncooked or cooked by steaming or boiling in water, frozen",0710
1992,071110,"Vegetables; onions, provisionally preserved by sulphur dioxide gas, but unsuitable in that state for immediate consumption",0711
1992,071120,"Vegetables; olives, provisionally preserved but unsuitable in that state for immediate consumption",0711
1992,071130,"Vegetables; capers, provisionally preserved but unsuitable in that state for immediate consumption",0711
1992,071140,"Vegetables; cucumbers and gherkins, provisionally preserved but unsuitable in that state for immediate consumption",0711
1992,071190,"Vegetables and mixed vegetables; n.e.s. in heading no. 0711, provisionally preserved but unsuitable in that state for immediate consumption",0711
1992,071210,"Vegetables; potatoes, whether or not cut or sliced but not further prepared, dried",0712
1992,071220,"Vegetables; onions, whole, cut, sliced, broken or in powder but not further prepared, dried",0712
